mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__n_estimators,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_samples,param_rf__max_features,param_rf__max_depth,param_rf__criterion,param_balance__k_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
322.80629529953,29.686007853595452,5.770614337921143,5.34901390484243,350,15,3,0.8,0.4,30,entropy,4,"{'rf__n_estimators': 350, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_samples': 0.8, 'rf__max_features': 0.4, 'rf__max_depth': 30, 'rf__criterion': 'entropy', 'balance__k_neighbors': 4}",0.798152278051915,0.8061874249370822,0.7982477199305571,0.7959950452344399,0.8097724158255926,0.8016709767959173,0.005335686378925056,21,0.9071445447517283,0.9054922267400989,0.9058754453839031,0.906727416472171,0.9080963389950827,0.9066671944685968,0.0009253496459425194
328.10309371948244,12.056130548966125,2.102870750427246,1.3020949605278065,250,15,3,0.8,0.6,25,entropy,6,"{'rf__n_estimators': 250, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_samples': 0.8, 'rf__max_features': 0.6, 'rf__max_depth': 25, 'rf__criterion': 'entropy', 'balance__k_neighbors': 6}",0.7979146019088181,0.8126106782566257,0.804955200596554,0.7964022236250713,0.8139385255281458,0.805164245983043,0.007236178689319605,16,0.9095077048416689,0.9097239717177994,0.9104748255496029,0.9090356745404093,0.9115683919504787,0.9100621137199919,0.0008848154349164003
399.4803258895874,18.70050031676143,1.7738906860351562,1.2016208252529317,450,15,4,0.8,0.4,25,entropy,6,"{'rf__n_estimators': 450, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 4, 'rf__max_samples': 0.8, 'rf__max_features': 0.4, 'rf__max_depth': 25, 'rf__criterion': 'entropy', 'balance__k_neighbors': 6}",0.7970463571896333,0.8083113885567496,0.8003743367566098,0.7939142159162788,0.8121082397435643,0.8023509076325672,0.0068404052177753185,20,0.899133044376506,0.8976564153577103,0.899159670977871,0.8975348333186899,0.9007834590885139,0.8988534846238583,0.0011889929575472627
579.3853222370147,6.218555852602013,4.022336959838867,1.5432474984100342,450,15,2,0.8,0.6,30,entropy,6,"{'rf__n_estimators': 450, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 2, 'rf__max_samples': 0.8, 'rf__max_features': 0.6, 'rf__max_depth': 30, 'rf__criterion': 'entropy', 'balance__k_neighbors': 6}",0.8003246529810614,0.8167321758810926,0.805716873952331,0.7987542784439706,0.8149677188851951,0.8072991400287302,0.007374970672309135,12,0.9181774184764956,0.9190589201147065,0.9201448653975706,0.9189997685214274,0.9209135197568848,0.9194588984534169,0.0009591087198134313
539.432958650589,22.69671489969199,2.5121063709259035,2.236814712011378,450,15,4,0.7,0.6,30,entropy,5,"{'rf__n_estimators': 450, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 4, 'rf__max_samples': 0.7, 'rf__max_features': 0.6, 'rf__max_depth': 30, 'rf__criterion': 'entropy', 'balance__k_neighbors': 5}",0.8004157171264368,0.8049707628157065,0.7992651558407576,0.7937818771484401,0.809160950194453,0.8015188926251587,0.005224446111620389,22,0.8969250453969093,0.8960271635292998,0.8970649259775256,0.8969673853236498,0.896566781496225,0.896710260344722,0.00038085194596581217
321.8694314479828,32.98767340637548,4.473567867279053,2.1640155858585834,250,10,2,0.7,0.6,30,entropy,6,"{'rf__n_estimators': 250, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 2, 'rf__max_samples': 0.7, 'rf__max_features': 0.6, 'rf__max_depth': 30, 'rf__criterion': 'entropy', 'balance__k_neighbors': 6}",0.8084845868311068,0.8184378589430072,0.8085118686525555,0.8042787581792106,0.8214539773739394,0.8122334099959639,0.006552771629258842,8,0.9363042337309073,0.9373030952391629,0.937850216658941,0.9381248183258243,0.9375135871300818,0.9374191902169834,0.0006243735434135146
223.2039213180542,18.13107919012188,3.762109899520874,2.6383305295611,250,15,3,0.7,0.5,20,entropy,4,"{'rf__n_estimators': 250, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_samples': 0.7, 'rf__max_features': 0.5, 'rf__max_depth': 20, 'rf__criterion': 'entropy', 'balance__k_neighbors': 4}",0.7985262738149139,0.805909244351086,0.7964377800339085,0.7947075484595227,0.8074391876092243,0.8006040068537311,0.005124605018009421,25,0.8992141183851011,0.8955778425466644,0.8979477453803415,0.8974376209006212,0.8977167783385789,0.8975788211102614,0.0011707422604633855
562.6059460639954,16.543882785348107,5.1039626121521,2.776155783783859,450,5,3,0.8,0.6,25,entropy,6,"{'rf__n_estimators': 450, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 3, 'rf__max_samples': 0.8, 'rf__max_features': 0.6, 'rf__max_depth': 25, 'rf__criterion': 'entropy', 'balance__k_neighbors': 6}",0.8091353630477767,0.8225285402114572,0.8104997802371539,0.8039797866949149,0.8243954270244223,0.8141077794431449,0.00796321197584577,6,0.9558322331826752,0.9580916366733474,0.9580908672933965,0.9584553914360237,0.9571482377908321,0.957523673275255,0.0009501906752483507
322.54108757972716,15.138890301655806,2.3895578384399414,1.6430206651581218,250,15,2,0.7,0.6,30,entropy,4,"{'rf__n_estimators': 250, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 2, 'rf__max_samples': 0.7, 'rf__max_features': 0.6, 'rf__max_depth': 30, 'rf__criterion': 'entropy', 'balance__k_neighbors': 4}",0.7989946811192026,0.809279714464098,0.8011830316467708,0.7965060214437293,0.8112920285437887,0.8034510954435179,0.005808456360318238,19,0.9117962128950288,0.9105908945328199,0.9115064389483968,0.9106873090849822,0.9130957145273262,0.9115353139977108,0.0009071705764182605
351.3433719158173,11.507602203453533,3.923431158065796,2.981008165834448,250,5,2,0.8,0.6,20,entropy,4,"{'rf__n_estimators': 250, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 2, 'rf__max_samples': 0.8, 'rf__max_features': 0.6, 'rf__max_depth': 20, 'rf__criterion': 'entropy', 'balance__k_neighbors': 4}",0.8104564191473694,0.8197525561643233,0.8133351644744637,0.805429928542973,0.8221197906052071,0.8142187717868673,0.006086521054529457,5,0.9665031657753108,0.9655059327829113,0.9650281602323418,0.9658938384301903,0.9694319054191496,0.9664726005279809,0.001556550001516306
